Name,Fact%,Keyword%,Para%,Gr error%,Publishable
R001.pdf,9.777358491,36.5287583,66.54597343,0.924894139,0
R002.pdf,29.59032258,32.50150839,64.98929899,0.76786769,0
R003.pdf,9.38030303,34.01986403,68.79452103,1.165594855,0
R004.pdf,74.93684211,34.68679999,57.74957942,0.570613409,0
R005.pdf,70.72264151,37.958102,67.58458804,0.273775216,0
R006.pdf,55.64117647,43.32045102,53.95229376,4.561074664,1
R007.pdf,54.9,33.03868462,54.37686577,3.017062006,1
R008.pdf,60.32115385,31.88327406,58.28852276,3.769880228,1
R009.pdf,66.09636364,41.36185052,57.31277081,0.715350224,1
R010.pdf,49.3754717,33.61677104,56.86613197,3.29401611,1
R011.pdf,63.98181818,58.87676726,61.25306086,3.751563151,1
R012.pdf,67.58412698,33.0708433,61.92579667,6.62358643,1
R013.pdf,55.296,41.21391634,59.03697564,10.51719156,1
R014.pdf,73.49824561,51.6018991,62.92671293,6.481048198,1
R015.pdf,61.25666667,68.18051014,63.20062441,11.78054527,1
P001.pdf,65.85505617977527,31.765700544365664,49.565270298005395,4.22866092404072,1
P002.pdf,19.375806451612906,36.65702320974838,66.40532738971262,0.7755603896718055,0
